Prod Name,Color,Rating,Price,RAM,Screen,Rear Camera,Front Camera,Memory,Battery,Processor
"Redmi 9 Prime ( 64GB , 4 GB )",Blue,4.5,10799,4 GB,16.51 cm (6.5),13MP+8MP+2MP,8 MP,64GB,5020,Octa
"itel A25 pro ( 32GB , 2 GB )",Purple,4.0,5599,2 GB,12.7 cm (5),5 MP,2 MP,32GB,3020,Quad
"Redmi Note 9 ( 128GB , 4 GB )",Green,4.0,14499,4 GB,16.51 cm (6.5),48 MP,13 MP,128GB,5020,Octa
"Blackberry ( 16GB , 2 GB )",Black,3.4,6999,2GB,12.7 cm (5),8 MP,2MP to 4.9MP,16GB,2800,Dual
"Redmi Note 9 ( 64GB , 4 GB )",Grey,4.4,13999,4 GB,16.51 cm (6.5),48MP+8MP+2MP+2MP,13 MP,64GB,5020 mAh,Octa
"YU Yu5012 ( 16GB , 3 GB )",Champagne,3.3,6899,3 GB,12.7 cm (5),13 MP,5 MP,16GB,2500,Quad
"Lava Z61 PRO ( 16GB , 2 GB )",Blue,4.6,5999,2 GB,13.716 cm (5.4),8 MP,5 MP,16GB,3100,Octa
"Samsung Galaxy M01s ( 32GB , 3 GB )",Grey,3.0,9100,3 GB,15.74 cm (6.2),8 MP,13 MP,32GB,4000,Octa
"OPPO MOBILE OPPO A5S ( 64GB , 4 GB )",Green,Currently Unavailable,11990,4 GB,15.74 cm (6.2),13 MP,8 MP,64GB,4230,Octa
"Redmi 8 ( 64GB , 4 GB )",Black,4.2,10999,4 GB,15.74 cm (6.2),12 MP,12 MP,64GB,5000,Octa
"Lava Z61 PRO ( 16GB , 2 GB )",Gold,4.6,5899,2 GB,13.716 cm (5.4),8 MP,5 MP,16GB,3100,Octa
"Micromax Canvas Infinity HS2 ( 32GB , 3 GB )",Black,Currently Unavailable,6940,3 GB,14.478 cm (5.7),13 MP,16 MP,32GB,2900,Quad
"Redmi 9i ( 128GB , 4 GB )",Green,3.5,10499,4 GB,16.51 cm (6.5),13 MP,5 MP,128GB,5000,Octa
"MI Mix 2 ( 128GB , 6 GB )",Black,4.0,18499,6 GB,15.24 cm (6),12 MP,5 MP,128GB,3400,Octa
"TECNO Spark Go 2020 ( 32GB , 2 GB )",Blue,5.0,7499,2 GB,16.4 cm (6.44),13MP+2MP,8 MP,32GB,5000,Quad
"Redmi 8A Dual ( 32GB , 2 GB )",Grey,3.6,7599,2 GB,15.74 cm (6.2),13 MP,2 MP,32GB,5000,Octa
"Lenovo ( 8GB , 2 GB )",Black,4.0,10999,2 GB,15.74 cm (6.2),13 MP,2 MP,32GB,5000,Octa
"Blackberry DTEK60 ( 32GB , 4 GB )",Black,Currently Unavailable,16998,4 GB,13.97 cm (5.5),21 MP,8 MP,32GB,3000,Quad
"Redmi Redmi 9 Prime ( 128GB , 4 GB )",Green,5.0,11899,4 GB,16.51 cm (6.5),13MP+8MP+2MP,8 MP,128GB,5020,Octa
"INFINIX Note 5 ( 32GB , 3 GB )",Black,3.0,8499,3 GB,14.986 cm (5.9),12 MP,16 MP,32GB,4500,Octa
"Redmi 9A ( 32GB , 2 GB )",Black,4.3,7799,2 GB,16.51 cm (6.5),13 MP,5 MP,32GB,5000,Octa
"Samsung Galaxy M01 core ( 32GB , 2 GB )",Red,4.0,7499,2 GB,13.716 cm (5.4),5 MP,8 MP,32GB,3000,Octa
"Xolo Era 2 ( 8GB , 1 GB )",Gold,3.8,Currently Unavailable,1 GB,12.7 cm (5),5 MP,5 MP,8GB,2350 mAh,Quad
"Lava Z61 PRO ( 16GB , 2 GB )",Red,4.6,6099,2 GB,13.716 cm (5.4),8 MP,5 MP,16GB,3100,Octa
"Poco C3 ( 32GB , 3 GB )",Green,5.0,8499,3 GB,16.51 cm (6.5),13 MP,5 MP,32GB,5000,Octa
"Redmi Brand REDMI NOTE 9 PRO MAX ( 64GB , 6 GB )",Black,Currently Unavailable,16499,6 GB,16.76 cm (6.6),64MP,32 MP,64GB,5020,Octa
"Karbonn k310n ( 256 MB , 256 MB )",Blue,3.2,849,256 MB,4.826 cm (1.9),2 MP,No,256 MB,1000,Dual
"Redmi Redmi 9 Prime ( 128GB , 4 GB )",Blue,5.0,11999,4 GB,16.51 cm (6.5),13MP+8MP+2MP,8 MP,128GB,5020,Octa
"Oppo A53 ( 128GB , 6 GB )",Black,4.0,15490,6 GB,16.51 cm (6.5),13MP + 2MP + 2MP,16 MP,128GB,5000 mAh,Quad
"YU YUNIQUE 2 PLUS ( 16GB , 3 GB )",Champagne,3.3,6899,3 GB,12.7 cm (5),13 MP,5 MP,16GB,2500,Quad
"Xolo Era 2 ( 8GB , 1 GB )",Black,3.8,Currently Unavailable,1 GB,12.7 cm (5),5 MP,5 MP,8GB,2350 mAh,Quad
"Redmi 9A ( 32GB , 3 GB )",Black,Currently Unavailable,8199,3 GB,16.51 cm (6.5),13 MP,5 MP,32GB,5000,Octa
"Redmi Note 9 Pro ( 128GB , 4 GB )",Blue,5.0,16499,4 GB,17 cm (6.7),48MP+8MP+2MP+2MP,16 MP,128GB,5035 mAh,Octa
"Realme C15 ( 32GB , 3 GB )",Blue,5.0,9999,3 GB,16.51 cm (6.5),13MP+8MP+2MP,8 MP,32GB,6000,Octa
"Realme C1 ( 32GB , 3 GB )",Black,4.2,8545,3 GB,15.74 cm (6.2),15 MP,5 MP,32GB,4230,Octa
"Redmi Note 9 ( 64GB , 4 GB )",White,4.4,13990,4 GB,16.51 cm (6.5),48MP+8MP+2MP+2MP,13 MP,64GB,5020 mAh,Octa
"Redmi 8 ( 64GB , 4 GB )",Black,4.1,11999,4 GB,15.74 cm (6.2),12 MP,8 MP,64GB,5000,Octa
SAM (MB-MC128HA),Red,Currently Unavailable,1999,8 GB,7.62 cm (3),0.3 MP,1 MP,128GB,20,Single
"Panasonic Eluga Ray 800 ( 64GB , 4 GB )",Gold,3.3,8999,4 GB,13.97 cm (5.5),13 MP,8 MP,64GB,4000,Quad
"Redmi Note 9 ( 64GB , 4 GB )",Green,4.4,12999,4 GB,16.51 cm (6.5),48MP+8MP+2MP+2MP,13 MP,64GB,5020 mAh,Octa
"Redmi Note 9 Pro ( 128GB , 4 GB )",White,5.0,15999,4 GB,17 cm (6.7),48MP+8MP+2MP+2MP,16 MP,128GB,5035 mAh,Octa
"Realme C3 ( 32GB , 3 GB )",Blue,3.0,9999,3 GB,16.51 cm (6.5),12 MP,5 MP,32GB,5000,Octa
"Realme C2 ( 32GB , 2 GB )",Blue,4.1,9990,2 GB,15.49 cm (6.1),13 MP,5 MP,32GB,4000,Octa
"itel A25 pro ( 32GB , 2 GB )",Green,4.0,5599,2 GB,12.7 cm (5),5 MP,2 MP,32GB,3020,Quad
"Honor 9S ( 32GB , 2 GB )",Blue,3.0,6949,2 GB,13.716 cm (5.4),8 MP,5 MP,32GB,3020,Octa
"Redmi Note 9 pro max ( 64GB , 6 GB )",Blue,Currently Unavailable,18199,6 GB,16.76 cm (6.6),64MP,32 MP,64GB,5000,Octa
"Redmi 9 Prime ( 64GB , 4 GB )",Green,4.5,10799,4 GB,16.51 cm (6.5),13MP+8MP+2MP,8 MP,64GB,5020,Octa
"Panasonic i8 ( 32GB , 3 GB )",Black,3.7,8499,3 GB,15.74 cm (6.2),13 MP,8 MP,32GB,4000,Octa
"Karbonn k310n ( 256 MB , 256 MB )",Blue,3.2,899,256 MB,4.826 cm (1.9),2 MP,No,256 MB,1000,Dual
"Redmi 8A Dual ( 32GB , 3 GB )",Grey,3.5,8599,3 GB,15.74 cm (6.2),13 MP,8 MP,32GB,5000,Octa
"TECNO SPARK 6 AIR ( 32GB , 2 GB )",Black,5.0,7999,2 GB,17.27 cm (6.8),13 MP,8 MP,32GB,6000,Quad
"Realme 7 ( 64GB , 6 GB )",Blue,Currently Unavailable,16149,6 GB,16.51 cm (6.5),64MP,16 MP,64GB,5000 mAh,Octa
"Realme 6 ( 64GB , 6 GB )",White,5.0,15400,6 GB,16.51 cm (6.5),16MP+8MP+2MP,16 MP,64GB,4300,Octa
"Realme C11 ( 32GB , 2 GB )",Grey,4.5,8990,2 GB,16.51 cm (6.5),13MP+2MP,5 MP,32GB,5000,Octa
"Redmi NOTE 8 PRO ( 128GB , 6 GB )",White,4.6,17495,6 GB,16.51 cm (6.5),48 MP,20 MP,128GB,4500 mAh,Octa
"YU YUREKA MICROMAX YU5040 ( 32GB , 4 GB )",Black,5.0,8499,4 GB,12.7 cm (5),13 MP,8 MP,32GB,3000,Octa
"INFINIX Hot 9 Pro ( 64GB , 4 GB )",Blue,4.0,11999,4 GB,16.76 cm (6.6),48 MP,8 MP,64GB,5000,Octa
"Redmi Redmi 9 ( 64GB , 4 GB )",Blue,Currently Unavailable,9699,4 GB,16.51 cm (6.5),13MP+2MP,5 MP,64GB,5000,Octa
"Samsung M01 core ( 16GB , 1 GB )",Red,3.0,7000,1 GB,13.462 cm (5.3),8 MP,16 MP,16GB,3000,Octa
"Realme C11 ( 32GB , 2 GB )",Green,4.4,7999,2 GB,16.51 cm (6.5),13 MP,5 MP,32GB,5000,Octa
"Realme C3 ( 32GB , 3 GB )",Grey,3.0,8995,3 GB,16.51 cm (6.5),12 MP,5 MP,32GB,5000,Octa
"Redmi Note 9 Pro ( 128GB , 4 GB )",Black,5.0,15799,4 GB,17 cm (6.7),48MP+8MP+2MP+2MP,16 MP,128GB,5036 mAh,Octa
"Realme REALME 5 PRO ( 64GB , 6 GB )",Blue,4.4,15999,6 GB,16 cm (6.3),48MP+8MP+2MP+2MP,16 MP,64GB,4035 mAh,Octa
"Samsung Galaxy M11 ( 32GB , 3 GB )",Black,5.0,11299,3 GB,16.25 cm (6.4),13 MP,8 MP,32GB,5000,Octa
"Redmi 8A Dual ( 32GB , 2 GB )",Blue,3.6,7599,2 GB,15.74 cm (6.2),13 MP,2 MP,32GB,5000,Octa
"REDMI 8A SEA BLUE ( 32GB , 2 GB )",Blue,Currently Unavailable,8299,2 GB,15.74 cm (6.2),13 MP,2 MP,32GB,5000,Quad
"INFINIX Hot 9 Pro ( 64GB , 4 GB )",Purple,4.0,11499,4 GB,16.76 cm (6.6),48 MP,8 MP,64GB,5000,Octa
"Swipe Elite Star ( 16GB , 1 GB )",Black,2.9,4199,1 GB,10.16 cm (4),5 MP,1.3 MP,16GB,2000,Quad
"INFINIX Hot 9 ( 64GB , 4 GB )",Blue,2.5,10499,4 GB,16.76 cm (6.6),13 MP,8 MP,64GB,5000,Octa
"Redmi Note 9 Pro ( 64GB , 4 GB )",Gold,2.0,15990,4 GB,17 cm (6.7),48MP+8MP+2MP+2MP,16 MP,64GB,5030 mAh,Octa
"OnePlus 3 ( 64 MB , 6 GB )",Grey,1.0,14499,6 GB,13.97 cm (5.5),16 MP,8 MP,64 MB,3000,Quad
"Redmi Note 9 ( 128GB , 4 GB )",Black,4.0,14499,4 GB,16.51 cm (6.5),48 MP,13 MP,128GB,5020,Octa
"Redmi Note 9 Pro ( 64GB , 4 GB )",White,2.0,13999,4 GB,17 cm (6.7),48MP+8MP+2MP+2MP,16 MP,64GB,5030 mAh,Octa
"Samsung Galaxy M01 ( 32GB , 3 GB )",Blue,2.8,9495,3 GB,14.478 cm (5.7),13MP+2MP,5 MP,32GB,4000,Octa
"Redmi 9A ( 32GB , 3 GB )",Green,2.5,8199,3 GB,16.76 cm (6.6),13 MP,5 MP,32GB,5000,Octa
"Poco M2 ( 64GB , 6 GB )",Red,1.0,11649,6 GB,16.51 cm (6.5),13 MP,8 MP,64GB,5000,Octa
"Redmi Note 9 Pro ( 64GB , 4 GB )",Blue,2.0,15098,4 GB,17 cm (6.7),48MP+8MP+2MP+2MP,16 MP,64GB,5030 mAh,Octa
"Realme Narzo 20 Pro ( 64GB , 6 GB )",Ninja,Currently Unavailable,16199,6 GB,16.51 cm (6.5),48 MP,16 MP,64GB,4500,Octa
"Realme 6i ( 64GB , 6 GB )",White,2.0,15400,6 GB,16.51 cm (6.5),48MP+8MP+2MP+2MP,16 MP,64GB,4300,Octa
"Redmi 9i ( 64GB , 4 GB )",Black,2.0,8999,4 GB,16.51 cm (6.5),13 MP,5 MP,64GB,6000,Octa
"Realme 6i ( 64GB , 6 GB )",Black,2.0,14999,6 GB,16.51 cm (6.5),48MP+8MP+2MP+2MP,16 MP,64GB,4300,Octa
"Redmi Note 9 ProMax ( 64GB , 6 GB )",White,1.0,18299,6 GB,17 cm (6.7),64MP + 13MP + 8MP + 2MP,32 MP,64GB,5041 mAh,Octa
"INFINIX Hot 9 ( 64GB , 4 GB )",Purple,2.5,10999,4 GB,16.76 cm (6.6),13 MP,8 MP,64GB,5000,Octa
"Redmi Note 9 Pro ( 64GB , 4 GB )",Black,2.0,13999,4 GB,17 cm (6.7),48MP+8MP+2MP+2MP,16 MP,64GB,5030 mAh,Octa
"Oppo Reno3 Pro ( 256GB , 8 GB )",Blue,Currently Unavailable,27990,8 GB,16.4 cm (6.44),64MP + 13MP + 8MP + 2MP,44MP+2MP,256GB,4025 mAh,Quad
"Realme X2 ( 64GB , 4 GB )",Blue,Currently Unavailable,17999,4 GB,16.25 cm (6.4),64MP,32 MP,64GB,4000,Octa
"1 Iphone 6 ( 16GB , 1 GB )",Gold,Currently Unavailable,16169,1 GB,11.938 cm (4.7),8 MP,1.2 MP,16GB,1810 mAh,Dual
"Poco C3 ( 32GB , 3 GB )",Black,Currently Unavailable,8999,3 GB,6.35 cm (2.5),13MP + 2MP + 2MP,5 MP,32GB,5000,Octa
"Redmi 9 Prime ( 128GB , 4 GB )",Black,Currently Unavailable,11999,4 GB,16.51 cm (6.5),13 MP,5 MP,128GB,5000,Octa
"Redmi 9 Prime ( 128GB , 4 GB )",Flare,Currently Unavailable,11999,4 GB,16.51 cm (6.5),13 MP,5 MP,128GB,5000,Octa
"Redmi 9i ( 128GB , 4 GB )",Blue,Currently Unavailable,10497,4 GB,16.51 cm (6.5),13 MP,5 MP,128GB,5000,Dual
"OnePlus 3T ( 64GB , 6 GB )",Gold,Currently Unavailable,14500,6 GB,13.97 cm (5.5),13 MP,13 MP,64GB,3000,Octa
"itel Vision 1 ( 32GB , 3 GB )",Blue,Currently Unavailable,7499,3 GB,15.49 cm (6.1),8 MP,5 MP,32GB,4000,Octa
"itel Vision 1 ( 32GB , 3 GB )",Green,Currently Unavailable,7299,3 GB,15.49 cm (6.1),8 MP,5 MP,32GB,4000,Octa
"Realme C3 ( 32GB , 3 GB )",Blue,3.0,8999,3 GB,16.51 cm (6.5),12 MP,5 MP,32GB,5000,Octa
"Poco C3 ( 64GB , 4 GB )",Green,Currently Unavailable,9999,4 GB,16.51 cm (6.5),13 MP,5 MP,64GB,5000,Octa
"Samsung Galaxy M11 ( 32GB , 3 GB )",Black,Currently Unavailable,11999,3 GB,16.25 cm (6.4),13 MP,8 MP,32GB,5000,Octa
"INDIAN KING M10 ( 32GB , 3 GB )",Black,Currently Unavailable,8999,3 GB,15.95 cm (6.3),13 MP,5 MP,32GB,4000,Dual
"Samsung Galaxy M21 ( 64GB , 4 GB )",Black,Currently Unavailable,14999,4 GB,16.25 cm (6.4),48 MP,20 MP,64GB,6000,Octa
"Samsung Galaxy F41 ( 128GB , 6 GB )",Green,Currently Unavailable,17199,6 GB,16.25 cm (6.4),64MP,32 MP,128GB,6000,Octa
"TECNO Camon i4 ( 32GB , 2 GB )",Black,Currently Unavailable,9999,2 GB,15.74 cm (6.2),13 MP,16 MP,32GB,3500 mAh,Quad
"Panasonic Eluga I8 ( 32GB , 3 GB )",Black,Currently Unavailable,8999,3 GB,15.74 cm (6.2),13 MP,8 MP,32GB,4000,Octa
"Realme C3 ( 64GB , 4 GB )",Blue,Currently Unavailable,13990,4 GB,16 cm (6.3),12 MP,5 MP,64GB,5000,Octa
"Coolpad Cool 5 ( 64GB , 4 GB )",Red,Currently Unavailable,8999,4 GB,15.74 cm (6.2),13 MP,No,64GB,4000,Octa
"Realme 6i ( 64GB , 4 GB )",Black,Currently Unavailable,13999,4 GB,16.51 cm (6.5),48M+8M+2M+2M,16 MP,64GB,4300,Octa
"Moto G Turbo Virat Kohli ( 16GB , 2 GB )",Black,Currently Unavailable,8999,2 GB,12.7 cm (5),16 MP,5 MP,16GB,2500,Octa
"vivo y11 Mobile ( 32GB , 3 GB )",Blue,Currently Unavailable,9999,3 GB,16.25 cm (6.4),13MP+2MP,8 MP,32GB,5000,Octa
"VOTO V3 ( 16GB , 2 GB )",Gold,3.9,3999,2 GB,12.7 cm (5),13 MP,13 MP,16GB,3000,Quad
"Oppo F17 Pro ( 128GB , 8 GB )",White,5.0,21490,8 GB,16.256 cm (6.4),48M+8M+2M+2M,16 MP,128GB,4015 mAh,Octa
"Huawei Honor 9i ( 64GB , 4 GB )",Black,3.7,16999,4 GB,14.986 cm (5.9),16 MP + 2 MP,13 MP + MP,64 GB,3340,Octa
"Oppo A12 ( 32GB , 3 GB )",Black,4.3,8990,3 GB,15.74 cm (6.2),13MP+2MP,5 MP,32GB,4230mAH,Octa
"Lenovo A6600D40 ( 16GB , 2 GB )",Black,3.8,Currently Unavailable,2 GB,12.7 cm (5),8 MP,2 MP,16GB,2300 mAh,Quad
"Oppo F15 ( 128GB , 8 GB )",Blue,3.9,18990,8 GB,16.25 cm (6.4),48MP+8MP+2MP+2MP,16 MP,128GB,4000mAh,Octa
"I-Smart IS-204-Flip ( 128 MB , 256 MB )",Purple,3.1,Currently Unavailable,256 MB,6.096 cm (2.4),0.3 MP,No,128 MB,850,Single
"Oppo F15 ( 128GB , 4 GB )",White,3.7,16990,4 GB,16.25 cm (6.4),48M+8M+2M+2M,16 MP,128GB,4000mAh,Octa
"VOTO V3 ( 16GB , 2 GB )",Blue,3.3,3999,2 GB,12.7 cm (5),13 MP,5 MP,16GB,3000mah,Octa
"Oppo F15 ( 128GB , 4 GB )",Blue,3.7,16990,4 GB,16.25 cm (6.4),48M+8M+2M+2M,16 MP,128GB,4000mAh,Octa
"itel VISION 1 ( 32GB , 2 GB )",Purple,3.3,6990,2 GB,15.49 cm (6.1),8 MP,5 MP,32GB,4000,Octa
"Oppo F17 Pro ( 128GB , 8 GB )",Blue,5.0,21490,8 GB,16.256 cm (6.4),48M+8M+2M+2M,16 MP,128GB,4015 mAh,Octa
"TECNO SPARK 6 AIR ( 32GB , 2 GB )",Blue,5.0,7999,2 GB,17.27 cm (6.8),13 MP,8 MP,32GB,6000,Quad
"Oppo F15 ( 128GB , 8 GB )",Black,3.9,18990,8 GB,16.25 cm (6.4),48MP+8MP+2MP+2MP,16 MP,128GB,4000mAh,Octa
"Intex Cloud Scan FP ( 8GB , 1 GB )",Champagne,3.4,109999,1 GB,12.7 cm (5),5 MP,5 MP,8GB,2450 mAh,Quad
"Oppo A5 2020 ( 64GB , 4 GB )",White,4.0,13990,4 GB,16.51 cm (6.5),12 MP,8 MP,64GB,5000 mAH Lithium Polymer,Octa
"Lenovo Lenovo L19111 ( 64GB , 4 GB )",Black,Currently Unavailable,8999,4 GB,15.49 cm (6.1),2 MP,13 MP,64GB,4000 mAh,Octa
"Oppo A12 ( 32GB , 3 GB )",Blue,4.3,8990,3 GB,15.74 cm (6.2),13MP+2MP,5 MP,32GB,4230mAH,Octa
"Lenovo Lenovo L19111 ( 64GB , 4 GB )",Blue,Currently Unavailable,8999,4 GB,15.49 cm (6.1),2 MP,13 MP,64GB,4000 mAh,Octa
"Oppo A31 ( 128GB , 6 GB )",Black,3.6,14990,6 GB,16.51 cm (6.5),12M+2M+2M,8 MP,128GB,4230mAh,Octa
Xiaomi Mi Mix 3(onyx black),Black,Currently Unavailable,56999,6 GB,6.858 cm (2.7),24 MP,24MP,128GB,3080mah,Octa
"Oppo A53 ( 128GB , 6 GB )",Blue,4.0,15490,6 GB,16.51 cm (6.5),13MP + 2MP + 2MP,16 MP,128GB,5000 mAh,Quad
"INFINIX Hot 9 Pro ( 64GB , 4 GB )",Black,4.0,10999,4 GB,16.76 cm (6.6),48 MP,8 MP,64GB,5000,Octa
"Oppo A31 ( 64 MB , 4 GB )",White,4.4,12490,4 GB,16.51 cm (6.5),12 MP,8 MP,64 MB,4100mAh,Octa
"Swipe Elite Pro ( 32GB , 3 GB )",White,3.5,Currently Unavailable,3 GB,12.7 cm (5),13 MP,8 MP,32GB,2500,Quad
"Oppo A11K ( 32GB , 2 GB )",Silver,4.4,8490,2 GB,15.74 cm (6.2),13MP+2MP,5 MP,32GB,4230mAH,Octa
"Intex Intex Aqua Style III ( 16GB , 1 GB )",Champagne,3.6,Currently Unavailable,1 GB,12.7 cm (5),5 MP,5 MP,16GB,2500,Quad
"OPPO A31 (128 GB , 6GB )",Green,3.6,14990,6 GB,16.51 cm (6.5),12M+2M+2M,8 MP,128GB,4230mAh,Octa
"Nokia 3 ( 16GB , 2 GB )",Black,3.7,Currently Unavailable,2 GB,12.7 cm (5),8 MP,8 MP,16GB,Non-removable Li-Ion 2650 mAh battery,Quad
"Oppo A53 ( 128GB , 6 GB )",White,4.0,15490,6 GB,16.51 cm (6.5),13MP + 2MP + 2MP,16 MP,128GB,5000 mAh,Quad
"Swipe Elite 2 Plus 2017 ( 8GB , 1 GB )",Black,3.5,Currently Unavailable,1 GB,12.7 cm (5),8 MP,5 MP,8GB,3000,Quad
"Oppo A53 ( 64GB , 4 GB )",Blue,4.5,12990,4 GB,16.51 cm (6.5),13MP + 2MP + 2MP,16 MP,64GB,5000 mAh,Quad
"Motorola XT1755 ( 16GB , 1 GB )",Black,3.7,Currently Unavailable,1 GB,12.7 cm (5),5 MP,2 MP,16GB,2350mAh,Quad
"Oppo A53 ( 64GB , 4 GB )",Black,4.5,12990,4 GB,16.51 cm (6.5),13MP + 2MP + 2MP,16 MP,64GB,5000 mAh,Quad
"Swipe Konnect Grand ( 8GB , 1 GB )",Black,3.4,Currently Unavailable,1 GB,12.7 cm (5),5 MP,2 MP,8GB,2500,Quad
"Oppo F15 ( 128GB , 8 GB )",White,3.9,18990,8 GB,16.25 cm (6.4),48MP+8MP+2MP+2MP,16 MP,128GB,4000mAh,Octa
"Redmi 8A Dual ( 32GB , 2 GB )",White,4.7,7599,2 GB,15.74 cm (6.2),13MP+2MP,8 MP,32GB,5000,Octa
"Oppo F17 ( 128GB , 8 GB )",Blue,Currently Unavailable,18490,8 GB,16.25 cm (6.4),16MP+8MP+2MP,16 MP,128GB,4015 mAh,Quad
"Oppo Reno 3 Pro ( 128GB , 8 GB )",White,4.3,24990,8 GB,16.4 cm (6.44),64MP + 13MP + 8MP + 2MP,44MP+2MP,128GB,4025 mAh,Quad
"Oppo A52 ( 128GB , 6 GB )",White,3.8,16990,6 GB,16.51 cm (6.5),12+8+2+2MP,16 MP,128GB,5000 mAh,Octa
"Oppo A31 ( 128 MB , 6 GB )",White,4.8,14990,6 GB,16.51 cm (6.5),12M+2M+2M,8 MP,128 MB,4230mAh,Octa
"Oppo A31 ( 64GB , 4 GB )",Black,4.4,12490,4 GB,16.51 cm (6.5),12M+2M+2M,8 MP,64GB,4100mAh,Octa
"Oppo F15 ( 128GB , 4 GB )",Black,3.7,16990,4 GB,16.25 cm (6.4),48M+8M+2M+2M,16 MP,128GB,4000mAh,Octa
"Oppo A52 ( 128GB , 6 GB )",Black,3.8,16990,6 GB,16.51 cm (6.5),12+8+2+2MP,16 MP,128GB,5000 mAh,Octa
"Oppo F17 Pro ( 128GB , 8 GB )",Black,5.0,21490,8 GB,16.256 cm (6.4),48M+8M+2M+2M,16 MP,128GB,4015 mAh,Octa
"Oppo F17 ( 128GB , 8 GB )",Orange,Currently Unavailable,18490,8 GB,16.25 cm (6.4),16MP+8MP+2MP,16 MP,128GB,4015 mAh,Quad
"Oppo A53 ( 64GB , 4 GB )",White,4.5,12990,4 GB,16.51 cm (6.5),13MP + 2MP + 2MP,16 MP,64GB,5000 mAh,Quad
"Oppo A5 2020 ( 64GB , 4 GB )",Black,4.0,13990,4 GB,16.51 cm (6.5),12 MP,8 MP,64GB,5000 mAH Lithium Polymer,Octa
"Micromax Yu Yutopia 5050 ( 32GB , 4 GB )",Graphite,2.3,7099,4 GB,13.208 cm (5.2),21 MP,8 MP,32GB,3000,Octa
"Oppo F17 ( 128GB , 6 GB )",Blue,1.0,16990,6 GB,16.256 cm (6.4),16MP+8MP+2MP,16 MP,128GB,4015 mAh,Quad
"Oppo F17 ( 128GB , 6 GB )",Silver,1.0,16990,6 GB,16.256 cm (6.4),16MP+8MP+2MP,16 MP,128GB,4015 mAh,Quad
"Oppo F17 ( 128GB , 6 GB )",Orange,1.0,16990,6 GB,16.256 cm (6.4),16MP+8MP+2MP,16 MP,128GB,4015 mAh,Quad
